-------------------------------------------------------------
Repartition Join Output
('5589', ('Music', ('28373', '3.5', '1111461737')))
('5589', ('Music', ('29231', '4.0', '1047747676')))
('5589', ('Music', ('30289', '3.0', '1032634723')))
('5589', ('Music', ('31227', '5.0', '1036350411')))
('5589', ('Music', ('32711', '3.0', '1035063726')))
('5589', ('Music', ('33089', '3.5', '1067197200')))
('5589', ('Music', ('34000', '4.0', '1072785279')))
('5589', ('Music', ('35578', '4.5', '1306160594')))
('5589', ('Music', ('36047', '2.0', '1049913598')))
('5589', ('Music', ('36181', '3.5', '1226176551')))
('5589', ('Music', ('36584', '1.5', '1149163152')))
('5589', ('Music', ('36677', '3.0', '1056523987')))
('5589', ('Music', ('38096', '2.0', '1101319465')))
('5589', ('Music', ('38525', '4.0', '1049771455')))
('5589', ('Music', ('40275', '1.0', '1034037579')))
('5589', ('Music', ('40465', '4.0', '1038803659')))
('5589', ('Music', ('41017', '3.5', '1072544508')))
('5589', ('Music', ('41422', '2.0', '1039371494')))
('5589', ('Music', ('42623', '3.5', '1054804218')))
('5589', ('Music', ('43191', '2.0', '1035249783')))
('5589', ('Music', ('43264', '3.5', '1075821153')))
('5589', ('Music', ('43380', '1.5', '1169918033')))
('5589', ('Music', ('43641', '2.0', '1035603291')))
('5589', ('Music', ('45266', '3.5', '1093848640')))
('5589', ('Music', ('45478', '3.0', '1059865798')))
('5589', ('Music', ('45484', '4.0', '1041816326')))
('5589', ('Music', ('46156', '4.0', '1031788765')))
('5589', ('Music', ('46657', '3.5', '1063784483')))
('5589', ('Music', ('47455', '4.0', '1032239791')))
('5589', ('Music', ('47471', '3.0', '1042256496')))
('5589', ('Music', ('48680', '5.0', '1086447485')))
('5589', ('Music', ('49538', '3.5', '1085543196')))
('5589', ('Music', ('49569', '1.0', '1033006420')))
('5589', ('Music', ('50783', '3.0', '1424552939')))
('5589', ('Music', ('50971', '2.0', '1159238167')))
('5589', ('Music', ('52445', '3.0', '1069884918')))
('5589', ('Music', ('53770', '1.5', '1262395885')))
('5589', ('Music', ('53846', '4.0', '1106853522')))
('5589', ('Music', ('55353', '2.0', '1267786711')))
('5589', ('Music', ('55501', '2.0', '1047094490')))
('5589', ('Music', ('55739', '5.0', '1036042788')))
('5589', ('Music', ('55859', '3.0', '1031093506')))
('5589', ('Music', ('56400', '3.0', '1059535768')))
('5589', ('Music', ('56649', '4.0', '1033145803')))
('5589', ('Music', ('56967', '4.0', '1195530474')))
('5589', ('Music', ('59666', '4.0', '1049051159')))
('5589', ('Music', ('61161', '3.5', '1457351749')))
('5589', ('Music', ('62021', '3.0', '1067055412')))
('5589', ('Music', ('63284', '3.0', '1032717949')))
('5589', ('Music', ('63602', '2.0', '1036187366')))
('5589', ('Music', ('63610', '4.0', '1100968819')))
('5589', ('Music', ('64136', '3.5', '1074631658')))
('5589', ('Music', ('64221', '4.0', '1049745352')))
('5589', ('Music', ('67571', '4.0', '1031794410')))
('5589', ('Music', ('67939', '4.0', '1041131841')))
('5589', ('Music', ('69138', '4.0', '1032018360')))
('5589', ('Music', ('69407', '4.0', '1059873792')))
('5589', ('Music', ('69517', '4.0', '1031155567')))
('5589', ('Music', ('70648', '3.0', '1283818606')))
('5589', ('Music', ('71431', '4.0', '1033680048')))
('5589', ('Music', ('72229', '4.0', '1031084744')))
('5589', ('Music', ('74275', '3.0', '1362927705')))
('5589', ('Music', ('74302', '3.5', '1076900883')))
('5589', ('Music', ('74466', '3.5', '1138217940')))
('5589', ('Music', ('77525', '3.5', '1098635023')))
('5589', ('Music', ('104344', '4.0', '1111696152')))
('5589', ('Music', ('104441', '3.0', '1039353199')))
('5589', ('Music', ('104882', '1.0', '1036980709')))
('5589', ('Music', ('105631', '4.0', '1039624024')))
('5589', ('Music', ('105700', '3.0', '1070895913')))
('5589', ('Music', ('105738', '3.0', '1044558522')))
('5589', ('Music', ('106023', '3.5', '1057518281')))
('5589', ('Music', ('107720', '3.0', '1031344774')))
('5589', ('Music', ('109016', '3.0', '1176006243')))
('5589', ('Music', ('109414', '3.0', '1250907280')))
('5589', ('Music', ('109819', '2.0', '1049694579')))
('5589', ('Music', ('110992', '4.0', '1082950690')))
('5589', ('Music', ('111050', '3.0', '1132811066')))
('5589', ('Music', ('111627', '3.5', '1172276693')))
('5589', ('Music', ('111892', '1.0', '1031621663')))
('5589', ('Music', ('112200', '3.5', '1136784499')))
('5589', ('Music', ('112459', '3.0', '1036616058')))
('5589', ('Music', ('113565', '4.0', '1439767157')))
('5589', ('Music', ('113644', '3.0', '1033513792')))
('5589', ('Music', ('114468', '3.0', '1039202906')))
('5589', ('Music', ('114972', '2.0', '1499203786')))
('5589', ('Music', ('115584', '4.0', '1152934948')))
('5589', ('Music', ('117140', '4.0', '1036156435')))
('5589', ('Music', ('117586', '2.5', '1145740633')))
('5589', ('Music', ('121735', '3.5', '1076386586')))
('5589', ('Music', ('122297', '3.0', '1071189879')))
('5589', ('Music', ('122347', '3.0', '1346856179')))
('5589', ('Music', ('122780', '4.0', '1031196129')))
('5589', ('Music', ('123364', '1.5', '1060533393')))
('5589', ('Music', ('125091', '3.0', '1033692436')))
('5589', ('Music', ('125356', '3.5', '1076819366')))
('5589', ('Music', ('156576', '5.0', '1032036405')))
('5589', ('Music', ('157093', '4.0', '1117521929')))
('5589', ('Music', ('157329', '3.0', '1136540290')))
('5589', ('Music', ('157370', '1.5', '1111604202')))
('5589', ('Music', ('161297', '2.5', '1074954095')))
('5589', ('Music', ('162158', '3.0', '1109628300')))
('5589', ('Music', ('163280', '5.0', '1394682908')))
('5589', ('Music', ('163835', '4.0', '1247880809')))
('5589', ('Music', ('164060', '4.0', '1241495859')))
('5589', ('Music', ('165164', '2.0', '1117601990')))
('5589', ('Music', ('166928', '3.0', '1295893263')))
